Replica 2,Match,Mismatch,PAM
Fit \#1,0.26650658,2.1823973198,3.6864265331
Fit \#2,0.266126361,2.1822926171,3.6835300934
Fit \#3,0.2659242514,2.1870802388,3.6811742097
Fit \#4,0.2659924431,2.1625123699,3.6932767052
Fit \#5,4.49588473446512E-15,1.1845052893,4.2746489839
Fit \#6,9.1942401745,28.1928942714,109.5325833683
Fit \textbf{Average},\textbf{0.2661374089},\textbf{2.1785706364},\textbf{3.6861018853}
